,Colour,Memory,RAM,Battery_,AI Lens,Mobile Height,Processor_,Prize,Price Category,battery_efficiency,Rear_Camera_MP,Front_Camera_MP,price_per_ram,price_per_memory,Brand,Series,Model_Number
39,40,64.0,4.0,5000.0,0.0,16.71,47,11999.0,10K-15K,1250.0,50,8,2999.75,187.484375,11,49,12.0
40,68,64.0,4.0,5000.0,0.0,16.51,58,7999.0,5K-10K,1250.0,50,8,1999.75,124.984375,6,90,12.0
41,35,128.0,6.0,4871.587800369686,0.0,17.02,75,10999.0,10K-15K,811.9313000616144,50,5,1833.1666666666667,85.9296875,12,1,12.0
42,111,64.0,4.0,5000.0,0.0,16.51,65,7299.0,5K-10K,1250.0,13,5,1824.75,114.046875,14,42,12.0
43,207,128.0,8.0,5000.0,0.0,16.64,75,11999.0,10K-15K,625.0,50,16,1499.875,93.7421875,6,38,12.0
44,249,64.0,4.0,4871.587800369686,0.0,17.02,75,9499.0,5K-10K,1217.8969500924215,50,5,2374.75,148.421875,12,1,12.0
45,247,128.0,4.0,4871.587800369686,0.0,16.76,12,10699.0,10K-15K,1217.8969500924215,50,8,2674.75,83.5859375,14,42,12.0
46,6,64.0,4.0,5000.0,0.0,16.51,58,7999.0,5K-10K,1250.0,50,8,1999.75,124.984375,6,90,12.0
47,117,128.0,4.0,5000.0,0.0,16.51,20,9999.0,5K-10K,1250.0,50,8,2499.75,78.1171875,6,92,12.0
48,6,64.0,4.0,5000.0,0.0,16.51,58,7999.0,5K-10K,1250.0,50,8,1999.75,124.984375,6,90,12.0
49,186,128.0,6.0,5000.0,0.0,17.04,59,8999.0,5K-10K,833.3333333333334,50,5,1499.8333333333333,70.3046875,11,31,12.0
50,264,128.0,8.0,4871.587800369686,0.0,16.21,104,20999.0,20K+,608.9484750462108,40,16,2624.875,164.0546875,22,66,12.0
51,162,128.0,8.0,4871.587800369686,0.0,16.21,104,20999.0,20K+,608.9484750462108,40,16,2624.875,164.0546875,22,66,12.0
52,84,128.0,6.0,5000.0,0.0,16.64,79,15499.0,15K-20K,833.3333333333334,50,16,2583.1666666666665,121.0859375,6,40,12.0
53,201,32.0,2.0,5000.0,0.0,16.56,56,6999.0,5K-10K,2500.0,8,5,3499.5,218.71875,11,29,12.0
54,162,128.0,6.0,4871.587800369686,0.0,16.21,104,18999.0,15K-20K,811.9313000616144,32,16,3166.5,148.4296875,22,66,12.0
55,264,128.0,6.0,4871.587800369686,0.0,16.21,104,18999.0,15K-20K,811.9313000616144,32,16,3166.5,148.4296875,22,66,12.0
56,273,64.0,4.0,5000.0,0.0,16.71,63,12499.0,10K-15K,1250.0,50,8,3124.75,195.296875,11,50,12.0
57,148,128.0,6.0,5000.0,0.0,16.64,79,15499.0,15K-20K,833.3333333333334,50,16,2583.1666666666665,121.0859375,6,40,12.0
58,186,64.0,4.0,5000.0,0.0,16.71,47,11999.0,10K-15K,1250.0,50,8,2999.75,187.484375,11,49,12.0
59,267,64.0,4.0,4871.587800369686,0.0,16.76,12,9699.0,5K-10K,1217.8969500924215,50,8,2424.75,151.546875,14,42,12.0
60,247,64.0,4.0,4871.587800369686,0.0,16.76,12,9699.0,5K-10K,1217.8969500924215,50,8,2424.75,151.546875,14,42,12.0
61,186,64.0,4.0,5000.0,0.0,16.71,63,12499.0,10K-15K,1250.0,50,8,3124.75,195.296875,11,50,12.0
62,50,64.0,4.0,5000.0,0.0,16.51,114,7299.0,5K-10K,1250.0,13,5,1824.75,114.046875,6,88,12.0
63,205,128.0,4.0,5000.0,0.0,16.51,116,10499.0,10K-15K,1250.0,50,5,2624.75,82.0234375,20,27,12.0
64,3,128.0,4.0,5000.0,0.0,16.51,116,10499.0,10K-15K,1250.0,50,5,2624.75,82.0234375,20,27,12.0
65,86,128.0,6.0,4871.587800369686,0.0,16.76,10,14490.0,10K-15K,811.9313000616144,50,13,2415.0,113.203125,14,42,12.0
